skip,sample_ID,material,amount_mg,d13C,C_amount_ug,d13C_Comment,d15N,N_amount_ug,d15N_Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,source_file
,C23,WOOD,1.42,-26.23,689.97,,-1.24,3.09,Too small,BBWM WOOD 1 Under 8mg,B7,"13C, 15N",NO,,416968,136249,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
skip,Blk 1,WOOD,0,-34.78,2.2,Too small,-5.47,1.84,Too small,BBWM WOOD 1 Under 8mg,B8,"13C, 15N",NO,,416969,136250,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C24,WOOD,2.34,-27.05,1101.67,,-1.72,6.34,Too small,BBWM WOOD 1 Under 8mg,B9,"13C, 15N",NO,,416970,136251,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C25,WOOD,6.15,-23.92,2943.99,,-2.7,9.3,Too small,BBWM WOOD 1 Under 8mg,B10,"13C, 15N",NO,,416971,136252,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C26,WOOD,2.24,-25.11,1122.41,,-6.45,4.12,Too small,BBWM WOOD 1 Under 8mg,B11,"13C, 15N",NO,,416972,136253,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C27,WOOD,6.36,-23.91,3059.79,,-1.94,7.99,Too small,BBWM WOOD 1 Under 8mg,B12,"13C, 15N",NO,,416973,136254,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C30,WOOD,2.3,-25,1091.29,,-1.68,4.08,Too small,BBWM WOOD 1 Under 8mg,C1,"13C, 15N",NO,,416974,136257,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C31,WOOD,2.13,-26.02,1026.88,,0.16,3.48,Too small,BBWM WOOD 1 Under 8mg,C2,"13C, 15N",NO,,416975,136258,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C32,WOOD,4.66,-26.56,2217.74,,0.37,7.11,Too small,BBWM WOOD 1 Under 8mg,C3,"13C, 15N",NO,,416976,136259,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C33,WOOD,1.49,-25.47,753.05,,-3.72,2.89,Too small,BBWM WOOD 1 Under 8mg,C4,"13C, 15N",NO,,416977,136260,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C34,WOOD,5.03,-27.9,2376.54,,1.54,7.34,Too small,BBWM WOOD 1 Under 8mg,C5,"13C, 15N",NO,,416978,136261,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C35,WOOD,1.32,-28.86,637.31,,-4.65,3.95,Too small,BBWM WOOD 1 Under 8mg,C6,"13C, 15N",NO,,416979,136262,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C36,WOOD,3.59,-28.78,1731.44,,5.68,5.15,Too small,BBWM WOOD 1 Under 8mg,C7,"13C, 15N",NO,,416980,136263,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C37,WOOD,1.37,-26.33,645.74,,-6.5,3.45,Too small,BBWM WOOD 1 Under 8mg,C8,"13C, 15N",NO,,416981,136264,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C38,WOOD,0.24,-27.94,141.21,,-9.12,2.09,Too small,BBWM WOOD 1 Under 8mg,C9,"13C, 15N",NO,,416982,136265,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C39,WOOD,1.07,-27.94,533.8,,0.14,3.03,Too small,BBWM WOOD 1 Under 8mg,C10,"13C, 15N",NO,,416983,136266,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C40,WOOD,2.42,-25.28,1145.21,,-0.46,4.34,Too small,BBWM WOOD 1 Under 8mg,C11,"13C, 15N",NO,,416984,136267,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C41,WOOD,5.16,-26.01,2495,,2.19,6.34,Too small,BBWM WOOD 1 Under 8mg,C12,"13C, 15N",NO,,416985,136268,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C42,WOOD,2.24,-25.1,1103.74,,-1.39,3.61,Too small,BBWM WOOD 1 Under 8mg,D1,"13C, 15N",NO,,416986,136272,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C43,WOOD,3.2,-27.27,1564.64,,-1.37,5.26,Too small,BBWM WOOD 1 Under 8mg,D2,"13C, 15N",NO,,416987,136273,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C45,WOOD,3.4,-25.77,1648.17,,1.38,5.35,Too small,BBWM WOOD 1 Under 8mg,D3,"13C, 15N",NO,,416988,136274,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
skip,Blk 2,WOOD,0,-31.49,2.28,Too small,-12.76,1.48,Too small,BBWM WOOD 1 Under 8mg,D4,"13C, 15N",NO,,416989,136275,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C47,WOOD,3.99,-23.62,1999.81,,-1.2,10.72,Precision decreases for samples containing less than 20ugN,BBWM WOOD 1 Under 8mg,D5,"13C, 15N",NO,,416990,136276,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C48,WOOD,3.02,-25.58,1513.58,,-2.6,6.46,Too small,BBWM WOOD 1 Under 8mg,D6,"13C, 15N",NO,,416991,136277,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C49,WOOD,5.87,-25.17,2943.99,,-3.39,9.59,Too small,BBWM WOOD 1 Under 8mg,D7,"13C, 15N",NO,,416992,136278,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C50,WOOD,7.14,-25.31,3555.26,,-2.37,6.34,Too small,BBWM WOOD 1 Under 8mg,D8,"13C, 15N",NO,,416993,136279,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C51,WOOD,4.85,-25.28,2356.74,,-4.15,10.66,Precision decreases for samples containing less than 20ugN,BBWM WOOD 1 Under 8mg,D9,"13C, 15N",NO,,416994,136280,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C52,WOOD,4.77,-26.44,2336.93,,-3.31,7.28,Too small,BBWM WOOD 1 Under 8mg,D10,"13C, 15N",NO,,416995,136281,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C53,WOOD,4.66,-25.66,2257.53,,-3.89,8.7,Too small,BBWM WOOD 1 Under 8mg,D11,"13C, 15N",NO,,416996,136282,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C54,WOOD,1.53,-25.39,771.95,,-7.51,3.86,Too small,BBWM WOOD 1 Under 8mg,D12,"13C, 15N",NO,,416997,136283,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C55,WOOD,0.87,-26.83,459.64,,-7.81,2.9,Too small,BBWM WOOD 1 Under 8mg,E1,"13C, 15N",NO,,416998,136290,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C56,WOOD,2.7,-26.3,1310.44,,-3.5,5.02,Too small,BBWM WOOD 1 Under 8mg,E2,"13C, 15N",NO,,416999,136291,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C57,WOOD,2.11,-26.99,1041.44,,-4.96,3.78,Too small,BBWM WOOD 1 Under 8mg,E3,"13C, 15N",NO,,417000,136292,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C58,WOOD,0.24,-28,139.7,,-9.61,2.14,Too small,BBWM WOOD 1 Under 8mg,E4,"13C, 15N",NO,,417001,136293,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C59,WOOD,3.56,-27.05,1711.15,,-2.05,5.9,Too small,BBWM WOOD 1 Under 8mg,E5,"13C, 15N",NO,,417002,136294,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C60,WOOD,3.44,-26.6,1652.24,,-3.52,4.48,Too small,BBWM WOOD 1 Under 8mg,E6,"13C, 15N",NO,,417003,136295,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C61,WOOD,2.87,-28.17,1425.53,,-3.05,4.84,Too small,BBWM WOOD 1 Under 8mg,E7,"13C, 15N",NO,,417004,136296,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C62,WOOD,0.71,-27.02,359.76,,-6.05,3.52,Too small,BBWM WOOD 1 Under 8mg,E8,"13C, 15N",NO,,417005,136297,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C63,WOOD,0.89,-27.11,518.98,,-3.54,3.19,Too small,BBWM WOOD 1 Under 8mg,E9,"13C, 15N",NO,,417006,136298,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C64,WOOD,2.13,-29.5,1095.44,,-1.25,5.82,Too small,BBWM WOOD 1 Under 8mg,E10,"13C, 15N",NO,,417007,136299,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C65,WOOD,0.23,-26.53,177.64,,-7.52,2.42,Too small,BBWM WOOD 1 Under 8mg,E11,"13C, 15N",NO,,417008,136300,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C66,WOOD,0.14,-27.34,124.91,,-5.66,2.49,Too small,BBWM WOOD 1 Under 8mg,E12,"13C, 15N",NO,,417009,136301,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C67,WOOD,3.28,-27.77,1642.06,,-2.43,6.34,Too small,BBWM WOOD 1 Under 8mg,F1,"13C, 15N",NO,,417010,136305,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C68,WOOD,3.17,-27.59,1633.92,,-3.21,7.76,Too small,BBWM WOOD 1 Under 8mg,F2,"13C, 15N",NO,,417011,136306,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C69,WOOD,1.66,-27.26,828.56,,-4.93,3.71,Too small,BBWM WOOD 1 Under 8mg,F3,"13C, 15N",NO,,417012,136307,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
skip,Blk 3,WOOD,0,-35.62,2.08,Too small,-8.24,1.98,Too small,BBWM WOOD 1 Under 8mg,F4,"13C, 15N",NO,,417013,136308,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C70,WOOD,6.03,-24.85,2943.99,,0.52,7.64,Too small,BBWM WOOD 1 Under 8mg,F5,"13C, 15N",NO,,417014,136309,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C71,WOOD,5.93,-24.61,2943.99,,-2.83,9.41,Too small,BBWM WOOD 1 Under 8mg,F6,"13C, 15N",NO,,417015,136310,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C72,WOOD,2.48,-25.81,1277.47,,-4.59,4.71,Too small,BBWM WOOD 1 Under 8mg,F7,"13C, 15N",NO,,417016,136311,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C73,WOOD,1.2,-24.81,673.13,,-5.28,3.31,Too small,BBWM WOOD 1 Under 8mg,F8,"13C, 15N",NO,,417017,136312,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C74,WOOD,1.32,-22.73,628.87,,-4.13,4.6,Too small,BBWM WOOD 1 Under 8mg,F9,"13C, 15N",NO,,417018,136313,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C75,WOOD,3.54,-25.9,1727.39,,0.97,5.59,Too small,BBWM WOOD 1 Under 8mg,F10,"13C, 15N",NO,,417019,136314,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C76,WOOD,2.75,-25.38,1306.33,,-2.81,5.17,Too small,BBWM WOOD 1 Under 8mg,F11,"13C, 15N",NO,,417020,136315,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C77,WOOD,1.54,-25.44,740.45,,-2.91,4.45,Too small,BBWM WOOD 1 Under 8mg,F12,"13C, 15N",NO,,417021,136316,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C78,WOOD,2.31,-26.07,1159.7,,-1.6,4.28,Too small,BBWM WOOD 1 Under 8mg,G1,"13C, 15N",NO,,417022,136320,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C79,WOOD,1.29,-26.74,588.77,,-4.98,3.13,Too small,BBWM WOOD 1 Under 8mg,G2,"13C, 15N",NO,,417023,136321,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C80,WOOD,5,-28.7,2435.84,,2.42,8.53,Too small,BBWM WOOD 1 Under 8mg,G3,"13C, 15N",NO,,417024,136322,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C81,WOOD,0.46,-26.79,259.55,,-11.59,2.36,Too small,BBWM WOOD 1 Under 8mg,G4,"13C, 15N",NO,,417025,136323,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C82,WOOD,1.52,-27.99,765.65,,0,4.37,Too small,BBWM WOOD 1 Under 8mg,G5,"13C, 15N",NO,,417026,136324,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C83,WOOD,3.33,-27.53,1684.76,,3.85,5.42,Too small,BBWM WOOD 1 Under 8mg,G6,"13C, 15N",NO,,417027,136325,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C84,WOOD,0,-32.04,2.67,Too small,-8.9,1.57,Too small,BBWM WOOD 1 Under 8mg,G7,"13C, 15N",NO,,417028,136326,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C85,WOOD,2.19,-27.5,880.88,,1.47,3.96,Too small,BBWM WOOD 1 Under 8mg,G8,"13C, 15N",NO,,417029,136327,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C86,WOOD,2.93,-27.12,1289.84,,0.68,6.04,Too small,BBWM WOOD 1 Under 8mg,G9,"13C, 15N",NO,,417030,136328,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C87,WOOD,0.28,-25.45,179.56,,-6.78,2.42,Too small,BBWM WOOD 1 Under 8mg,G10,"13C, 15N",NO,,417031,136329,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C88,WOOD,1.01,-27,552.84,,-3.85,3.81,Too small,BBWM WOOD 1 Under 8mg,G11,"13C, 15N",NO,,417032,136330,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C89,WOOD,1.61,-27.13,782.44,,-0.28,4.04,Too small,BBWM WOOD 1 Under 8mg,G12,"13C, 15N",NO,,417033,136331,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C90,WOOD,1.01,-26.01,466.72,,1.03,2.93,Too small,BBWM WOOD 1 Under 8mg,H1,"13C, 15N",NO,,417034,136363,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C91,WOOD,1.91,-25.6,946.57,,-1.02,4.63,Too small,BBWM WOOD 1 Under 8mg,H2,"13C, 15N",NO,,417035,136364,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C92,WOOD,6.7,-27.15,3173.84,,0.07,11.81,Precision decreases for samples containing less than 20ugN,BBWM WOOD 1 Under 8mg,H3,"13C, 15N",NO,,417036,136365,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C93,WOOD,1.69,-26,910.78,,1.77,5.26,Too small,BBWM WOOD 1 Under 8mg,H4,"13C, 15N",NO,,417037,136366,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C94,WOOD,2.27,-24.31,1124.81,,0.65,5.09,Too small,BBWM WOOD 1 Under 8mg,H5,"13C, 15N",NO,,417038,136367,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C95,WOOD,0.7,-25.8,361.54,,-7.27,2.7,Too small,BBWM WOOD 1 Under 8mg,H6,"13C, 15N",NO,,417039,136368,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C96,WOOD,6.96,-25.78,3383.6,,-0.91,10.9,Precision decreases for samples containing less than 20ugN,BBWM WOOD 1 Under 8mg,H7,"13C, 15N",NO,,417040,136369,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C97,WOOD,5.31,-24.83,2591.34,,-2.32,8.42,Too small,BBWM WOOD 1 Under 8mg,H8,"13C, 15N",NO,,417041,136370,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C98,WOOD,9.46,-29.3,,Too large - estimated Delta PDB-total C will be incorrect,2.71,39.06,,BBWM WOOD 1 Under 8mg,H9,"13C, 15N",NO,,417042,136371,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C99,WOOD,0.65,-27.74,320.64,,-5.88,2.42,Too small,BBWM WOOD 1 Under 8mg,H10,"13C, 15N",NO,,417043,136372,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C100,WOOD,1.85,-25.02,887.59,,0.61,4.94,Too small,BBWM WOOD 1 Under 8mg,H11,"13C, 15N",NO,,417044,136373,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C102,WOOD,0.65,-25.5,378.74,,1.3,2.51,Too small,BBWM WOOD 1 Under 8mg,H12,"13C, 15N",NO,,417045,136374,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C103,WOOD,2.23,-26.06,1099.72,,-0.76,3.62,Too small,BBWM WOOD 2 Under 8mg,A1,"13C, 15N",NO,,417046,136378,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C104,WOOD,2.47,-28.57,1202.01,,-3.52,4.81,Too small,BBWM WOOD 2 Under 8mg,A2,"13C, 15N",NO,,417047,136379,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C105,WOOD,1.17,-26.51,550.14,,-4.22,2.9,Too small,BBWM WOOD 2 Under 8mg,A3,"13C, 15N",NO,,417048,136380,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C106,WOOD,0.31,-27.19,169.45,,-4.14,2.24,Too small,BBWM WOOD 2 Under 8mg,A4,"13C, 15N",NO,,417049,136381,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C107,WOOD,1.85,-26.19,889.7,,-2.15,3.08,Too small,BBWM WOOD 2 Under 8mg,A5,"13C, 15N",NO,,417050,136382,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C108,WOOD,0.12,-27.9,93.98,Precision decreases for samples containing less than 100ugC,0.41,1.9,Too small,BBWM WOOD 2 Under 8mg,A6,"13C, 15N",NO,,417051,136383,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C109,WOOD,1.56,-29.65,737.44,,2.51,5.44,Too small,BBWM WOOD 2 Under 8mg,A7,"13C, 15N",NO,,417052,136384,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C110,WOOD,0.75,-27.52,402.37,,2.43,2.65,Too small,BBWM WOOD 2 Under 8mg,A8,"13C, 15N",NO,,417053,136385,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C111,WOOD,0.49,-28.09,260.26,,4.96,1.98,Too small,BBWM WOOD 2 Under 8mg,A9,"13C, 15N",NO,,417054,136386,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C112,WOOD,0.52,-25.88,275.37,,-5.61,2.93,Too small,BBWM WOOD 2 Under 8mg,A10,"13C, 15N",NO,,417055,136387,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C113,WOOD,2.03,-25.24,1036.89,,-2.93,4.24,Too small,BBWM WOOD 2 Under 8mg,A11,"13C, 15N",NO,,417056,136388,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C114,WOOD,0.5,-26.01,318.49,,1.34,2.02,Too small,BBWM WOOD 2 Under 8mg,A12,"13C, 15N",NO,,417057,136389,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C115,WOOD,0.37,-26.67,197.16,,-1.45,2.68,Too small,BBWM WOOD 2 Under 8mg,B1,"13C, 15N",NO,,417058,136392,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C116,WOOD,3.59,-27.65,1851.91,,-2.76,6.54,Too small,BBWM WOOD 2 Under 8mg,B2,"13C, 15N",NO,,417059,136393,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
skip,Blk 4,WOOD,0,-29.63,1.98,Too small,-11.41,1.36,Too small,BBWM WOOD 2 Under 8mg,B3,"13C, 15N",NO,,417060,136394,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C118,WOOD,2.67,-24.96,1376.42,,0.63,6.06,Too small,BBWM WOOD 2 Under 8mg,B4,"13C, 15N",NO,,417061,136395,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C119,WOOD,3.02,-25.32,1518.79,,-1.37,5.89,Too small,BBWM WOOD 2 Under 8mg,B5,"13C, 15N",NO,,417062,136396,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C120,WOOD,0.47,-25.02,230.03,,-12.88,2.16,Too small,BBWM WOOD 2 Under 8mg,B6,"13C, 15N",NO,,417063,136397,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C121,WOOD,7.13,-25.2,3534.87,,0.37,8.84,Too small,BBWM WOOD 2 Under 8mg,B7,"13C, 15N",NO,,417064,136398,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C122,WOOD,2.58,-26.54,1245.73,,-5.12,3.97,Too small,BBWM WOOD 2 Under 8mg,B8,"13C, 15N",NO,,417065,136399,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C123,WOOD,2.63,-25.28,1278.98,,0.58,5.18,Too small,BBWM WOOD 2 Under 8mg,B9,"13C, 15N",NO,,417066,136400,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C124,WOOD,0.75,-25.33,348.63,,-5.37,2.52,Too small,BBWM WOOD 2 Under 8mg,B10,"13C, 15N",NO,,417067,136401,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C125,WOOD,0.83,-25.77,423.84,,-2.26,2.93,Too small,BBWM WOOD 2 Under 8mg,B11,"13C, 15N",NO,,417068,136402,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C126,WOOD,0.04,-21.05,1.86,Too small,-8.79,1.37,Too small,BBWM WOOD 2 Under 8mg,B12,"13C, 15N",NO,,417069,136403,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C127,WOOD,4.08,-28.54,1951.17,,3.29,7.39,Too small,BBWM WOOD 2 Under 8mg,C1,"13C, 15N",NO,,417070,136407,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C128,WOOD,4.68,-27.93,2334.19,,1,7.51,Too small,BBWM WOOD 2 Under 8mg,C2,"13C, 15N",NO,,417071,136408,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C129,WOOD,5.86,-28.08,2787.2,,1.88,11.44,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,C3,"13C, 15N",NO,,417072,136409,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C130,WOOD,0,-37.72,2.38,Too small,-13.43,1.41,Too small,BBWM WOOD 2 Under 8mg,C4,"13C, 15N",NO,,417073,136410,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C131,WOOD,0.46,-27.03,266.74,,-4.19,1.88,Too small,BBWM WOOD 2 Under 8mg,C5,"13C, 15N",NO,,417074,136411,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C132,WOOD,0.23,-28.28,166.63,,0.11,1.89,Too small,BBWM WOOD 2 Under 8mg,C6,"13C, 15N",NO,,417075,136412,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C133,WOOD,1.6,-25.97,760.76,,0.85,3.17,Too small,BBWM WOOD 2 Under 8mg,C7,"13C, 15N",NO,,417076,136413,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C134,WOOD,2.94,-24.95,1444.61,,2.53,6.06,Too small,BBWM WOOD 2 Under 8mg,C8,"13C, 15N",NO,,417077,136414,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
